operator_name,parent_company,countries_present,facility_count_wave_A,total_mw_known,mw_coverage_pct,has_colo_wholesale,ai_or_gpu_mentions,max_relevance,partnership_openness_guess,priority_for_outreach,source_urls
Serpro,Unknown,Brazil,2,0,0%,False,"AI, artificial intelligence",3,Unknown,No,https://www.datacentermap.com/brazil/brasilia/serpro-brasilia/ | https://www.datacentermap.com/brazil/sao-paulo/serpro-so-paulo/
Teccloud Stefanini,Unknown,Brazil,2,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/porto-alegre/teccloud-campo-bom/ | https://www.datacentermap.com/brazil/porto-alegre/teccloud-porto-alegre/
Ávato,Unknown,Brazil,2,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/joinville/avato-joinville/ | https://www.datacentermap.com/brazil/santa-maria/dc-coracao-do-rio-grande/
ASAP Telecom,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/sao-paulo/asap-sp1/
"B3 S.A. – Brasil, Bolsa, Balcão",Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/sao-paulo/b3-data-center/
Connect Web,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/sao-paulo/connect-web/
Cybolt,Unknown,Mexico,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/mexico/mexico-city/sdr/
Datamovilidad SAS,Unknown,Colombia,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/colombia/medellin/datamovilidad/
Dataware Sistemas SAS,Unknown,Colombia,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/colombia/medellin/dataware-sistemas/
GTD Chile,Unknown,Colombia,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/colombia/medellin/gtd-el-poblado/
Government of Tlajomulco,Unknown,Mexico,1,0,0%,False,artificial intelligence,3,Unknown,No,https://www.datacentermap.com/mexico/guadalajara/c5-tlajomulco-data-center/
HEXAM2,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/rio-de-janeiro/hexam2/
Insidesign Tecnologia Ltda EPP,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/sao-paulo/rpodc/
Latitude.sh,Unknown,Brazil,1,0,0%,False,,3,Unknown,No,https://www.datacentermap.com/brazil/sao-paulo/maxihost/
MiniDC by tryideas,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/sao-paulo/minidc-mcr1/
Novvacore,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/sao-paulo/cma/
QNAX Data Center,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/sao-paulo/qnax-data-center/
R4C,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/rio-de-janeiro/r4c-networks/
SBA Edge,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/sao-paulo/matrix/
cdznet data center,Unknown,Brazil,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/sao-paulo/cdznet-data-center/
Marcatel,Unknown,Mexico,4,0,0%,False,artificial intelligence,2,Unknown,No,https://www.datacentermap.com/mexico/guadalajara/marcatel-guadalajara/ | https://www.datacentermap.com/mexico/mexico-city/marcatel-mexico-city/ | https://www.datacentermap.com/mexico/monterrey/marcatel-monterrey/ | https://www.datacentermap.com/mexico/queretaro/marcatel-queretaro/ | https://www.datacenters.com/providers/marcatel/locations/mexico
Locaweb S/A,Unknown,Brazil,2,0,0%,False,,2,Unknown,No,https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-itapaiuna/ | https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-jk/
Telebras,Unknown,Brazil,2,0,0%,False,,2,Low,No,https://www.datacentermap.com/brazil/brasilia/cope-p/ | https://www.datacentermap.com/brazil/rio-de-janeiro/cope-s/
ADENTRO DATA CENTER SOLUTIONS LTDA,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/porto-alegre/adentro/
AiTelecom,Unknown,Mexico,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/mexico/merida/aitelecom-data-center/
Amazon AWS,Unknown,Mexico,1,0,0%,False,,2,Unknown,No,https://www.datacentermap.com/mexico/queretaro/amazon-aws-qro-productividad/
Assetel,Unknown,Mexico,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/mexico/guadalajara/assetel-data-center/
Atlantic Data Centers,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/recife/recife1/
BRDrive,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/videira/brdrive-data-center/
BRDrive,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/videira/brdrive-sc-vda/
Brazilian Army,Unknown,Brazil,1,0,0%,False,,2,Unknown,No,https://www.datacentermap.com/brazil/sao-paulo/3rd-cta-sao-paulo-data-center/
Casa dos Ventos,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/fortaleza/casa-dos-ventos-data-center/
Century Telecom LTDA,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/belo-horizonte/century-cem-dc01/
ClickIP Datacenters,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/manaus/clickip-datacenters/
ConectJá Telecomunicações,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/vitoria/vix-datacenter/
Contato Data Center,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/ararangu/contato-cloud/
Convex Internet Solutions,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/ribeirao-preto/convex-idc-rpo/
ENGETRONICS INTERNET DATACENTER,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/brasilia/engetronics-brasilia/
ETIPI - PI,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/teresina/piau-link-data-center/
Edge Connection,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/campinas/edge-connection--cps01/
Everest Digital,Unknown,Brazil,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/brazil/goiania/everest-digital-data-center/
