operator_name,parent_company,countries_present,facility_count_wave_B,total_mw_known,mw_coverage_pct,has_colo_wholesale,ai_or_gpu_mentions,max_relevance,partnership_openness_guess,priority_for_outreach,source_urls
Sonda S.A.,Unknown,Chile,3,0,0%,True,"artificial intelligence, high-performance computing",5,High,Yes,https://www.datacentermap.com/chile/santiago/sonda-kudos/ | https://www.datacentermap.com/chile/santiago/sonda-quilicura/ | https://www.datacentermap.com/chile/santiago/sonda-teatinos/ | https://www.datacenters.com/providers/sonda
WIN Empresas,Unknown,Peru,3,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/peru/lima/win-dc-galvez/ | https://www.datacentermap.com/peru/lima/win-dc-santa-catalina/ | https://www.datacentermap.com/peru/tacna/win-dc-del-sur/ | https://www.datacenters.com/providers/on-empresas/data-center-locations
Anacondaweb S.A.,Unknown,Chile,2,0,0%,True,"AI, artificial intelligence, nvidia",5,High,Yes,https://www.datacentermap.com/chile/santiago/anacondaweb/ | https://www.datacentermap.com/chile/temuco/temuco-datacenter/ | https://www.datacenters.com/news/anacondaweb-positions-itself-with-the-largest-data-center-in-the-capital-of-the-
InterNexa,"ISA, a Colombian multinational with 56 ye","Chile, Peru",2,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/chile/santiago/internexa-chile/ | https://www.datacentermap.com/peru/lima/internexa-lima/ | https://www.datacenters.com/providers/internexa
Latincloud,Unknown,"Argentina, Chile",2,0,0%,True,,5,High,Yes,https://www.datacentermap.com/argentina/buenos-aires/nxnet/ | https://www.datacentermap.com/chile/santiago/nxnet-chile/
"ODATA, an Aligned Data Centers Company",Aligned Data Centers,Chile,2,0,0%,True,"AI, artificial intelligence",5,High,Yes,https://www.datacentermap.com/chile/santiago/aligned-st-01/ | https://www.datacentermap.com/chile/santiago/aligned-st-02/ | https://www.datacenters.com/aligned-odata-dc-sp04
Ufinet,Unknown,Chile,2,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/chile/santiago/ufinet-magnus-i/ | https://www.datacentermap.com/chile/santiago/ufinet-magnus-ii/ | https://www.datacenters.com/ufinet-transistmica
Data Center TDF,Unknown,Argentina,2,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/ushuaia/data-center-tdf-tolhuin/ | https://www.datacentermap.com/argentina/ushuaia/data-center-tdf-ushuaia/
Google,Unknown,Chile,2,0,0%,False,,3,Unknown,No,https://www.datacentermap.com/chile/santiago/google-quilicura-data-center-2/ | https://www.datacentermap.com/chile/santiago/google-quilicura/
ARSAT,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/arsat-buenos-aires/
Allytech S.A:,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/allytech/
BAEHOST Web Hosting & Cloud,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/baehost/
Databyte,Unknown,Chile,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/chile/santiago/ipxon-santiago/
Edesal Energía,Unknown,Argentina,1,0,0%,False,"AI, artificial intelligence",3,Unknown,No,https://www.datacentermap.com/argentina/san-luis-ar/edesal-data-center/
Entel,Unknown,Chile,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/chile/santiago/entel-central/
G2K Argentina,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/g2k-datacenter/
Gigared,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/gigared-data-center/
HostingPlus,Unknown,Chile,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/chile/santiago/hostingplus/
Hostname.cl,Unknown,Chile,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/chile/santiago/hostnamecl/
IPTP Networks,Unknown,Peru,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/peru/lima/iptp-san-isidro/
Ingeniería e Informática Asociada (IIA),IIA,Chile,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/chile/santiago/iia-data-center/
Intercity Networks,Unknown,Chile,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/chile/santiago/intercity-networks/
Intermedia SP,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/internet-data-center/
Kyndryl,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/kyndryl-dc-buenos-aires/
Microsoft,Unknown,Chile,1,0,0%,False,,3,Unknown,No,https://www.datacentermap.com/chile/santiago/microsoft-quilicura-scl03/
Neolo.com,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/neolocom-dc/
PowerHost Datacenter,Unknown,Chile,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/chile/santiago/powerhost/
S&A Chile,Unknown,Chile,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/chile/santiago/sa-chile/
Sencinet,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/sencinet-argentina/
Servicios y Telecomunicaciones SA,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/servicios-y-telecomunicaciones-sa/
SkyOnline,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/skyonline/
TE.SA.M. PERU S.A.,Unknown,Peru,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/peru/lima/tesam-data-center/
Telecentro S.A.,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/telecentro-data-center/
WNPower Hosting,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/wnpower/
Waugi Cloud,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/waugi-cloud-km37/
WireNet Chile Ltda.,Unknown,Chile,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/chile/santiago/wirenet-chil/
iplan,Unknown,Argentina,1,0,0%,True,,3,Med,No,https://www.datacentermap.com/argentina/buenos-aires/ringo-dci/
Amazon AWS,Unknown,Chile,2,0,0%,False,,2,Unknown,No,https://www.datacentermap.com/chile/santiago/amazon-aws-scl-huechuraba/ | https://www.datacentermap.com/chile/santiago/amazon-aws-scl-hurtado/
Apoapsis SpA,Unknown,Chile,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/chile/punta-arenas/apoapsis/
Autopista de la Información (AUI),AUI,Argentina,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/argentina/san-luis-ar/data-center-la-punta/
COTO C.I.C.S.A.,Unknown,Argentina,1,0,0%,False,,2,Unknown,No,https://www.datacentermap.com/argentina/buenos-aires/alfredo-coto-data-center/
Chilecom Datacenter Ltda,Unknown,Chile,1,0,0%,False,,2,Unknown,No,https://www.datacentermap.com/chile/santiago/chilecom-datacenter/
DonWeb,Unknown,Argentina,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/argentina/rosario/donweb-data-center-manuel-belgrano/
EMPATEL SAPEM,Unknown,Argentina,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/argentina/santa-rosa-la-pampa/empatel-data-center/
Fiserv,Unknown,Argentina,1,0,0%,False,,2,Unknown,No,https://www.datacentermap.com/argentina/buenos-aires/fiserv-dc-buenos-aires/
Hosted Ltda.,Unknown,Chile,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/chile/los-andes/hosted-ltda/
Prisma Medios de Pago,Unknown,Argentina,1,0,0%,False,,2,Unknown,No,https://www.datacentermap.com/argentina/buenos-aires/prisma-medios-de-pago-dc/
TECfusions,Unknown,Chile,1,0,0%,False,,2,Unknown,No,https://www.datacentermap.com/chile/santiago/tecfusions-puente-alto/
Tecnoera,Unknown,Chile,1,0,0%,True,,2,Med,No,https://www.datacentermap.com/chile/valparaiso/netexplora-data-center/
Opciones S.A.,Unknown,Chile,2,0,0%,False,,1,Unknown,No,https://www.datacentermap.com/chile/concepcion/opciones-concepcin/ | https://www.datacentermap.com/chile/puerto-montt/opciones-puerto-montt/
Government of San Juan,Unknown,Argentina,1,0,0%,False,,1,Unknown,No,https://www.datacentermap.com/argentina/san-juan-ar/data-center-san-juan/
Government of Santa Fe,Unknown,Argentina,1,0,0%,False,,1,Unknown,No,https://www.datacentermap.com/argentina/santa-fe-ar/government-of-santa-fe-data-center/
Keel Infrastructure,Unknown,Argentina,1,54.0,100%,False,,1,Unknown,No,https://www.datacentermap.com/argentina/rio-cuarto/bitfarms-rio-cuarto/
Universidad Nacional del Litoral,Unknown,Argentina,1,0,0%,False,,1,Unknown,No,https://www.datacentermap.com/argentina/santa-fe-ar/unl-data-center/
